Stream,Season,Low or High,SRP,NO3,DOC,Ave SRP,Ave NO3,Ave DOC
Hurley,Spring,High,12.11653582,0.022790934,0.164322263,9.173945044,0.011473839,0.138398785
Hovey,Spring,High,8.683513248,0.005933694,0.135713722,,,
Blue,Spring,High,6.721786065,0.005696888,0.115160369,,,
Jack ,Spring,Low,1.817468106,0.000906631,0.258964989,6.353962218,0.002242896,0.161997503
Moonbeam,Spring,Low,7.702649657,0,0.169600591,,,
Standup,Spring,Low,1.32703631,0.008064953,0.140225545,,,
Jungle,Spring,Low,14.5686948,0,0.079198887,,,
Hurley,Summer,High,19.96344455,0,0.326848884,15.38608113,0,0.287758653
Hovey,Summer,High,14.5686948,0,0.264381013,,,
Blue,Summer,High,11.62610402,0,0.272046064,,,
Jack ,Summer,Low,6.721786065,0,0.347870401,11.62610402,0.002043129,0.205910902
Moonbeam,Summer,Low,13.58783121,0,0.180753929,,,
Standup,Summer,Low,6.231354269,0,0.089985037,,,
Jungle,Summer,Low,19.96344455,0.008172517,0.20503424,,,
